Date,Value
2016-07-31,807.9414
2016-06-30,797.5535
2016-05-31,809.5157
2016-04-30,818.5681
2016-03-31,800.9157
2016-02-29,771.4921
2016-01-31,747.5905
2015-12-31,745.896
2015-11-30,786.6922
2015-10-31,744.3815
2015-09-30,719.1234
2015-08-31,736.4989
2015-07-31,736.1203
2015-06-30,734.6554
2015-05-31,761.6679
2015-04-30,730.1186
2015-03-31,762.7666
2015-02-28,704.9493
2014-12-31,654.5523
2014-11-30,648.7748
2014-10-31,673.1492
2014-09-30,662.6267
2014-08-31,630.2345
2014-07-31,629.4594
2014-06-30,651.3413
2014-05-31,622.74
2014-04-30,614.8374
2014-03-31,579.3761
2014-02-28,615.8059
2014-01-31,630.145
2013-12-31,612.3308
2013-11-30,642.4392
2013-10-31,644.5109
2013-09-30,638.3322
2013-08-31,619.9599
2013-07-31,616.7629
2013-06-30,615.2628
2013-05-31,595.21
2013-04-30,567.0065
2013-03-31,549.2988
2013-02-28,572.41
2013-01-31,579.2278
2012-12-31,555.5292
2012-11-30,544.4124
2012-10-31,552.0455
2012-09-30,557.2224
2012-08-31,544.6132
2012-07-31,537.4925
2012-06-30,541.8987
2012-05-31,567.1485
2012-04-30,533.5739
2012-03-31,514.1046
2012-02-29,503.5199
2012-01-31,505.0871
2011-12-31,520.2225
2011-11-30,538.389
2011-10-31,552.7536
2011-09-30,584.892
2011-08-31,526.5312
2011-07-31,501.5999
2011-06-30,484.402
2011-05-31,505.2716
2011-04-30,492.9413
2011-03-31,486.4873
2011-02-28,505.5653
2011-01-31,538.1086
2010-12-31,536.124
2010-11-30,514.124
2010-10-31,521.0012
2010-09-30,521.1039
2010-08-31,552.2609
2010-07-31,549.811
2010-06-30,543.6748
2010-05-31,542.4229
2010-04-30,544.8619
2010-03-31,527.2529
2010-02-28,540.4884
2010-01-31,544.8459
2009-12-31,577.2398
2009-11-30,562.8458
2009-10-31,530.151
2009-09-30,526.7781
2009-08-31,557.1149
2009-07-31,596.8067
2009-06-30,572.63
2009-05-31,555.2081
2009-04-30,571.0393
2009-03-31,575.538
2009-02-28,555.3684
2009-01-31,533.8463
2008-12-31,554.9894
2008-11-30,596.6539
2008-10-31,587.4992
2008-09-30,585.536
2008-08-31,574.8429
2008-07-31,555.3726
2008-06-30,590.9401
2008-05-31,566.3512
2008-04-30,580.2108
2008-03-31,595.797
2008-02-29,593.8466
2008-01-31,600.6408
2007-12-31,571.2037
2007-11-30,606.7748
2007-10-31,615.0163
2007-09-30,651.7398
2007-08-31,646.8221
2007-07-31,614.8192
2007-06-30,594.4301
2007-05-31,585.0985
2007-04-30,529.8097
2007-03-31,511.8396
2007-02-28,533.8763
2007-01-31,572.3124
2006-12-31,578.5148
2006-11-30,589.3886
2006-10-31,608.019
2006-09-30,648.7033
2006-08-31,669.1723
2006-07-31,684.4368
2006-06-30,652.5614
2006-05-31,666.3068
2006-04-30,656.5952
2006-03-31,607.6741
2006-02-28,599.8569
2006-01-31,606.1414
2005-12-31,609.8378
2005-11-30,590.0635
2005-10-31,606.6984
2005-09-30,595.9543
2005-08-31,601.741
2005-07-31,608.7536
2005-06-30,624.5646
2005-05-31,590.0194
2005-04-30,603.3008
2005-03-31,586.1952
2005-02-28,579.3505
2005-01-31,570.3525
2004-12-31,529.9101
2004-11-30,504.9298
2004-10-31,499.7872
2004-09-30,514.3591
2004-08-31,526.2664
2004-07-31,536.5846
2004-06-30,549.3914
2004-05-31,522.1668
2004-04-30,500.4201
2004-03-31,470.4148
2004-02-29,446.5022
2004-01-31,430.4865
2003-12-31,441.4287
2003-11-30,448.9206
2003-10-31,439.1352
2003-09-30,434.103
2003-08-31,423.0239
2003-07-31,410.5342
2003-06-30,400.8241
2003-05-31,388.9685
2003-04-30,393.3134
2003-03-31,394.8472
2003-02-28,409.0308
2003-01-31,363.6729
2002-12-31,351.8102
2002-11-30,351.0582
2002-10-31,357.1665
2002-09-30,368.5619
2002-08-31,356.7596
2002-07-31,352.6626
2002-06-30,360.6274
2002-05-31,351.9955
2002-04-30,331.997
2002-03-31,317.0178
2002-02-28,309.726
2002-01-31,318.6149
2001-12-31,322.2617
2001-11-30,313.3601
2001-10-31,316.1075
2001-09-30,315.8618
2001-08-31,308.9173
2001-07-31,308.6112
2001-06-30,321.8108
2001-05-31,316.079
2001-04-30,299.8101
2001-03-31,295.3286
2001-02-28,304.1818
2001-01-31,303.7485
2000-12-31,296.4591
2000-11-30,285.7696
2000-10-31,286.6046
2000-09-30,281.3804
2000-08-31,281.6017
2000-07-31,273.1235
2000-06-30,270.7787
2000-05-31,277.2076
2000-04-30,259.4313
2000-03-31,255.9565
2000-02-29,251.3083
2000-01-31,251.3498
1999-12-31,247.8285
1999-11-30,245.549
1999-10-31,250.3942
1999-09-30,251.9279
1999-08-31,241.3112
1999-07-31,240.9816
1999-06-30,244.5099
1999-05-31,247.0715
1999-04-30,242.7488
1999-03-31,239.5457
1999-02-28,224.053
1999-01-31,231.3266
1998-12-31,235.104
1998-11-30,234.2134
1998-10-31,232.7305
1998-09-30,240.7711
1998-08-31,231.948
1998-07-31,225.7633
1998-06-30,217.9388
1998-05-31,212.0148
1998-04-30,206.7958
1998-03-31,228.4191
1998-02-28,259.1987
1997-12-31,212.0848
1997-11-30,201.0915
1997-10-31,200.0659
1997-09-30,196.5123
1997-08-31,195.9492
1997-07-31,193.9259
1997-06-30,191.0159
1997-05-31,192.2811
1997-04-30,183.2644
1997-03-31,180.3385
1997-02-28,189.5054
1997-01-31,182.5224
1996-12-31,180.6488
1996-11-30,175.4312
1996-10-31,177.6842
1996-09-30,176.8919
1996-08-31,177.7311
1996-07-31,176.9725
1996-06-30,167.8119
1996-05-31,174.556
1996-04-30,184.6893
